,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-11-15,10141.342497379732,26377.6801214996,36519.02261887933
2021-11-16,16002.903417901993,60426.10877954754,76429.01219744954
2021-11-17,58008.40182949677,166467.41426694434,224475.81609644112
2021-11-18,31898.74788734966,109423.83021052492,141322.5780978746
2021-11-19,16160.78139015227,46715.603988145536,62876.38537829781
2021-11-20,11379.007334946706,32342.3595807264,43721.366915673105
2021-11-21,5647.801735308273,17862.875827265165,23510.677562573437
2021-11-22,18108.541670087663,74139.1306236703,92247.67229375796
2021-11-23,12949.878954787084,52752.062023548795,65701.94097833589
2021-11-24,14460.099574348476,48281.301275496204,62741.40084984468
2021-11-25,9745.691353086813,25250.386468966008,34996.07782205282
2021-11-26,3571.3158699361006,4159.419785743565,7730.735655679666
2021-11-27,10571.681828254594,27879.161449152627,38450.84327740722
2021-11-28,28863.848794073772,97951.217888515,126815.06668258877
2021-11-29,3167.709704964774,4146.050524079856,7313.760229044629
2021-11-30,7584.561711253039,23050.78814134981,30635.349852602852
2021-12-01,10937.115125950108,28428.17190254712,39365.28702849723
2021-12-02,7991.574888197883,22942.295194916653,30933.870083114536
2021-12-03,8417.817702094673,24341.645596516817,32759.46329861149
2021-12-04,3695.147350440025,2120.164058739637,5815.3114091796615
2021-12-05,10588.749211845392,13524.841070224353,24113.590282069745
2021-12-06,22802.876211689832,51169.267056593555,73972.14326828338
2021-12-07,9457.698040471998,15144.04384725869,24601.741887730688
2021-12-08,16793.443076184627,51600.39311050696,68393.8361866916
2021-12-09,35759.12782959092,150076.80256914595,185835.93039873688
2021-12-10,17892.699435856026,54175.92606743814,72068.62550329416
2021-12-11,6908.857451235941,6757.187429085494,13666.044880321435
2021-12-12,3126.867185897111,3480.4420500616725,6607.309235958784
2021-12-13,3423.2120243560926,2513.087422617203,5936.299446973295
2021-12-14,10296.416303561495,27212.76484551499,37509.18114907649
2021-12-15,10714.013788383796,26472.246796862728,37186.26058524653
2021-12-16,15302.645046709842,42929.764097897816,58232.409144607656
2021-12-17,4843.445519342135,7375.958691942005,12219.40421128414
2021-12-18,15478.63304439836,55966.34435271478,71444.97739711314
2021-12-19,24458.248703334255,86014.43763607653,110472.6863394108
2021-12-20,13306.676343205878,45898.74273387331,59205.41907707918
2021-12-21,9370.149543268179,20151.410073085535,29521.559616353716
2021-12-22,14371.919490789489,47524.259012258575,61896.17850304806
2021-12-23,31916.202884480535,123421.32657842168,155337.52946290222
2021-12-24,12788.20792911621,23305.701451851597,36093.90938096781
2021-12-25,7475.840730685988,6311.57965228794,13787.420382973927
2021-12-26,2476.0526394421104,288.3893663451182,2764.4420057872285
2021-12-27,6571.482317181568,7613.395978050215,14184.878295231782
2021-12-28,3488.3883616314915,3621.3821602345265,7109.7705218660185
2021-12-29,24368.413843523023,88977.4741957607,113345.88803928373
2021-12-30,32382.787927854788,119963.19652837253,152345.9844562273
2021-12-31,37586.11557345047,132498.5475499264,170084.6631233769
