"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|PT","Without Sequence","74.29","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|PT","Without Sequence","89.78","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|PT","Without Sequence","104.79","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|PT","Without Sequence","140.00","",""
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|PT","Without Sequence","140.00","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|PT","Without Sequence","120.00","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|PT","Without Sequence","69.77","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|PT","Without Sequence","69.77","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|PT","Without Sequence","57.96","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|PT","Without Sequence","14.00","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|PT","Without Sequence","92.52","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|PT","Without Sequence","159.90","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|PT","Without Sequence","207.90","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|PT","Without Sequence","240.00","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|PT","Without Sequence","230.82","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|PT","Without Sequence","214.02","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|PT","Without Sequence","215.88","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|PT","Without Sequence","205.60","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|PT","Without Sequence","196.23","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|PT","Without Sequence","165.00","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|PT","Without Sequence","158.70","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|PT","Without Sequence","159.30","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|PT","Without Sequence","160.10","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|PT","Without Sequence","173.01","",""
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|PT","Without Sequence","200.10","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|PT","Without Sequence","228.46","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|PT","Without Sequence","234.74","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|PT","Without Sequence","240.00","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|PT","Without Sequence","238.76","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|PT","Without Sequence","228.38","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|PT","Without Sequence","222.53","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|PT","Without Sequence","216.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|PT","Without Sequence","206.01","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|PT","Without Sequence","200.99","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|PT","Without Sequence","223.00","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|PT","Without Sequence","256.01","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|PT","Without Sequence","286.40","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|PT","Without Sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|PT","Without Sequence","267.45","",""
